Block, Jenny Fromthe
Cobain, Kurt Donald
Corgan, Billy Patrick
Cornell, Chris John
Crow, Robertdale Rulon
Cunningham, Abe
Darrell, Dimebag
Doggy Dogg, Snoop
Gilmour, David Jon
Grohl, David Eric
Jones, Adam Thomas
Keenan, Maynard James
King, Kerry Ray
McGraw, Samuel Timothy
Plant, Robert Anthony
Reznor, Trent Michael
Shakur, Tupac
Staley, Lane Thomas
Vaughan, Stevie Ray
Vedder, Eddie
Wallace, Christopher
Warner, Brian Hugh
Weiland, Scott Richard
Wright, Eazy E.
Young, Neil Percival
Zimmerman, Robert Allen
